'BOUT	B AW T
VERGES'S	V ER JH IH Z IH Z
VERGESH	V ER G EH SH
VERGESH'S	V ER G EH SH IH S
VERGING	V ER JH IH NG
VERGRESH	V ER G R EH SH
VERGRESH'S	V ER G R EH SH IH S
VERHAGE	V ER HH IH JH
VERHAGEN	V ER HH AH G AH N
VERHEY	V ER HH IY
VERHOEF	V ER HH OW F
VERHOEVEN	V ER HH OW V AH N
VERHOFF	V ER HH AO F
VERHOFSTADT	V ER HH AO F S T AE T
VERIBANC	V EH R IH B AE NG K
VERIFYING	V EH R AH F AY IH NG
VERINA	V ER IY N AH
VERINE	V ER IY N IY
VERITIES	V EH R AH T IY Z
VERITY'S	V EH R AH T IY Z
VERIZON	V EH R AY Z AH N
VERIZONS	V EH R AY Z AH N Z
VERKUILEN	V ER K AH L AH N
VERLA	V EH R L AH
VERLAG	V ER L AE G
VERLEGER	V ER L AH G ER
VERMEER	V ER M IH R
VERMEULEN	V ER M OY L AH N
VERMILYA	V ER M IY L Y AH
VERMILYEA	V ER M IY L Y AH
VERMONT	V ER M AA N T
VERMONT'S	V ER M AA N T S
VERMONTER	V ER M AA N T ER
VERNA	V ER N AH
VERNER	V ER N ER
VERNES	V ER N Z
VERNEY	V ER N IY
VERNICK	V ER N IH K
VERNIS	V ER N IH S
VERNITA	V ER N IY T AH
VERNITRON	V ER N IH T R AA N
VERNO	V EH R N OW
VERNOR	V ER N ER
VERO	V EH R OW
VEROA	V ER OW AH
VERON	V EH R AH N
VERONA	V ER OW N AH
VERONDA	V EH R AA N D AH
VERONIQUE	V EH R AA N IY K
VERONIS	V EH R OW N IH S
VERRALL	V EH R AH L
VERRASTRO	V EH R AE S T R OW
VERRELL	V EH R EY L
VERRET	V EH R EY T
VERRETT	V EH R IH T
VERRETTE	V ER EH T
VERRI	V EH R IY
VERRIER	V EH R IY ER
VERRILL	V EH R IY L
VERRY	V EH R IY
VERSA	V ER S AH
VERSACE	V ER S AA CH EY
VERSACE(1)	V ER S AA CH IY
VERSACE'S	V ER S AA CH EY Z
VERSACE'S(1)	V ER S AA CH IY Z
VERSAILLES	V EH R S AY
VERSAILLES(1)	V EH R S EY L Z
VERSER	V ER S ER
VERSES	V ER S IH Z
VERSICHERUNG	V ER S IH CH ER AH NG
VERSIONS	V ER ZH AH N Z
VERSLUIS	V ER S L UW IH Z
VERSTRAETE	V ER S T R EH T
VERTEBRAE	V ER T AH B R EY
VERTIBRAK	V ER T AH B R AE K
VERTICOM	V ER T IH K AA M
VERTREES	V ER T R IY Z
VERTUCCI	V ER T UW CH IY
VERTZ	V ER T S
VERVILLE	V ER V IH L
VERWEY	V ER W IY
VERWOERD	V ER W AO R D
VESCIO	V EH S IY OW
VESCO	V EH S K OW
VESELY	V IY Z L IY
VESEY	V EH S IY
VESMEN	V EH S M AH N
VESNA	V EH S N AH
VESPA	V EY S P AH
VESPERA	V EY S P EH R AH
VESS	V EH S
VESSEL'S	V EH S AH L Z
VESSELS'S	V EH S AH L Z IH Z
VESSER	V EH S ER
VESTAR	V EH S T ER
VESTER	V EH S T ER
VESTIGES	V EH S T IH JH IH Z
VESTRON	V EH S T R AH N
VESTS	V EH S T S
VESUVIUS	V AH S UW V IY AH S
VETA	V EH T AH
VETCO	V EH T K OW
VETERANS(1)	V EH T R AH N Z
VETERANS'	V EH T ER AH N Z
VETERANS'(1)	V EH T R AH N Z
VETERE	V EH T ER
VETERINARIANS	V EH T R AH N EH R IY AH N Z
VETERINARIANS(1)	V EH T ER AH N EH R IY AH N Z
VETETO	V EH T EH T OW
VETOED	V IY T OW D
VETOES	V IY T OW Z
VETRANO	V EH T R AA N OW
VETS	V EH T S
VETSCH	V EH CH
VETTE	V EH T
VETTED	V EH T IH D
VETTING	V EH T IH NG
VEUVE	V Y UW V
VEVERKA	V EY V EH R K AH
VEVEY	V EH V IY
VEVILA	V EY V IY L AH
VEY	V EY
VEYNE	V EY N
VI	V AY
VI(1)	V IY
VIACOM'S	V AY AH K AA M Z
VIADUCTS	V AY AH D AH K T S
VIAG'S	V AY AE G Z
VIAGENE	V AY AH JH IY N
VIAGRA	V AY AE G R AH
VIALL	V AY AH L
VIALPANDO	V IY AA L P AA N D OW
VIALS	V AY AH L Z
VIAN	V IY AH N
VIANA	V IY AE N AH
VIANI	V IY AA N IY
VIANSA	V IY AA N S AH
VIARS	V AY ER Z
VIAU	V IY OW
VIBE	V AY B
VIBRATES	V AY B R EY T S
VIC	V IH K
VICARI	V IY K AA R IY
VICE-PRESIDENTS	V AY S P R EH Z AH D AH N T S
VICENCIO	V IH S EH N S IY OW
VICENTE	V IY CH EH N T IY
VICENZI	V IH S EH N Z IY
VICES	V AY S AH Z
VICES(1)	V AY S IH Z
VICHY	V IY SH IY
VICINO	V IY CH IY N OW
VICKER	V IH K ER
VICKERS	V IH K ER Z
VICKERY	V IH S K ER IY
VICKERY(1)	V IH K ER IY
VICKIE	V IH K IY
VICKLAND	V IH K L AH N D
VICKNAIR	V IH K N ER
VICKREY	V IH K R IY
VICKROY	V IH K R OY
VICKS	V IH K S
VICKSBURG	V IH K S B ER G
VICKY	V IH K IY
VICKY'S	V IH K IY Z
VICON	V IH K AH N
VICON'S	V IH K AH N Z
VICORP	V AY K AO R P
VICTIMIZED	V IH K T AH M AY Z D
VICTIMIZING	V IH K T AH M AY Z IH NG
VICTIMLESS	V IH K T AH M L AH S
VICTIMS'	V IH K T IH M Z
VICTOIRE	V IH K T W AA R
VICTORIA'S	V IH K T AO R IY AH Z
VICTORIAN	V IH K T AO R IY AH N
VICTORIANS	V IH K T AO R IY AH N Z
VICTORIAS	V IH K T AO R IY AH Z
VICTORIES	V IH K T ER IY Z
VICTORINO	V IY K T AO R IY N OW
VICTORS	V IH K T ER Z
VIDAL	V AY D AE L
VIDALES	V IY D AA L EH S
VIDALIA	V AY D EY L Y AH
VIDARTES	V IH D AA R T EH S
VIDAURRI	V IH D AO R IY
VIDEOCASSETTES	V IH D IY OW K AE S EH T S
VIDEOCONFERENCING	V IY D IY OW K AA N F R AH N S IH NG
VIDEOGAME	V IH D IY OW G EY M
VIDEOPHILE	V IH D IY OW F AY AH L
VIDEOS	V IH D IY OW Z
VIDEOTAPES	V IH D IY OW T EY P S
VIDEOTEX	V IH D IY OW T EH K S
VIDEOTRON	V IH D IY OW T R AA N
VIDIGO	V IH D IY G OW
VIDMAR	V IH D M ER
VIDONIA	V IY D OW N IY AH
VIDOR	V IY D AO R
VIEAU	V IY OW
VIEBROCK	V IY B R AH K
VIEDMA	V IY D M AH
VIEGAS	V IY G AH Z
VIEIRA	V IY EH R AH
VIEJO	V IY EH JH OW
VIEL	V IY L
VIELMA	V IY L M AH
VIEN	V IY N
VIENNA	V IY EH N AH
VIENNA'S	V IY EH N AH Z
VIENNEAU	V AH N OW
VIENNESE	V IY EH N IY S
VIENOT	V IY N AA T
VIENS	V IY N Z
VIERA	V IY R AH
VIERECK	V IH R IH K
VIERRA	V IH R AA
VIERS	V IH R Z
VIERTEL	V IH R T EH L
VIERTELS	V IH R T EH L Z
VIETCONG	V IY EH T K AO NG
VIETNAM	V IY EH T N AA M
VIETNAMESE	V IY EH T N AA M IY S
VIETOR	V IY T ER
VIETS	V IY T S
VIETTI	V IY EH T IY
VIEWED	V Y UW D
VIEWER'S	V Y UW ER Z
VIEWERS	V Y UW ER Z
VIEWERS'	V Y UW ER Z
VIEWERSHIP	V Y UW ER SH IH P
VIEWPOINTS	V Y UW P OY N T S
VIEYRA	V IY EH R AH
VIG	V IH G
VIGDOR	V IH G D ER
VIGEANT	V IH JH AH N T
VIGER	V AY G ER
VIGER(1)	V IH G ER
VIGGIANO	V IH JH IY AA N OW
VIGILANTES	V IH JH AH L AE N T IY Z
VIGILS	V IH JH AH L Z
VIGLIONE	V IH G L IY OW N IY
VIGLIOTTI	V IH G L IY AO T IY
VIGLUND	V IH G L AH N D
VIGLUND'S	V IH G L AH N D Z
VIGNA	V IH G N AH
VIGNETTES	V IH N Y EH T S
VIGNOLA	V IY G N OW L AA
VIGORITO	V IY G AO R IY T OW
VIGUERIE	V IH G ER IY
VIGUERIE(1)	V IY G EH R IY
VIGUS	V AY G AH S
VIK	V IH K
VIKE	V AY K
VIKES	V AY K S
VIKING	V AY K IH NG
VIKING'S	V AY K IH NG Z
VIKINGS	V AY K IH NG Z
VILA	V IY L AH
VILARDO	V IY L AA R D OW
VILAS	V IY L AA Z
VILES	V AY L Z
VILHAUER	V IH L HH AW ER
VILIFIED	V IH L AH F AY D
VILLA'S	V IH L AH Z
VILLAFANA	V IY L AA F AE N AH
VILLAFANE	V IY L AA F AA N EY
VILLAFRANCA	V IH L AH F R AE NG K AH
VILLAFUERTE	V IY L AA F W EH R T EY
VILLAGE'S	V IH L IH JH IH Z
VILLAGES	V IH L AH JH IH Z
VILLAGES(1)	V IH L IH JH IH Z
VILLAGRAN	V IY L AA G R AA N
VILLAGRANA	V IY L AA G R AE N AH
VILLALBA	V IY L AA L B AH
VILLALOBOS	V IY L AA L OW B OW Z
VILLALON	V IY L AA L AO N
VILLALPANDO	V IY L AA L P AA N D OW
VILLALVA	V IY L AA L V AH
VILLANI	V IY L AA N IY
VILLANUEVA	V IY L AA N W EH V AH
VILLAR	V IH L ER
VILLARD	V IH L ER D
VILLAREAL	V IH L AH R IY AA L
VILLARI	V IY L AA R IY
VILLARREAL	V IY L AA R IY L
VILLAS	V IH L AH Z
VILLASANA	V IY L AA S AE N AH
VILLASENOR	V IY L AA S EH N AO R
VILLAVERDE	V IY L AA V EH R D IY
VILLAVICENCIO	V IH L AH V IH S EH N S IY OW
VILLE	V IH L
VILLEGAS	V IH L IH G AH Z
VILLELA	V IH L IH L AH
VILLENEUVE	V IH L IH N UW V
VILLENEUVE(1)	V IH L N UW V
VILLERS	V IH L ER Z
VILLIERS	V IH L Y ER Z
VILLWOCK	V IH L W AH K
VILMA	V IH L M AH
VILNIUS	V IH L N IY AH S
VILORIA	V IY L AO R IY AH
VIN	V IH N
VINAL	V AY N AH L
VINCE'S	V IH N S IH S
VINCELETTE	V IH N S IH L EH T
VINCENNES	V IH N S EH N AH S
VINCENT	V IH N S EH N T
VINCENT(1)	V IH N S IH N T
VINCENTE	V IH N CH EH N T IY
VINCENTI	V IY N CH EH N T IY
VINCENTIA	V IY N CH EH N SH AH
VINCI(1)	V IH N CH IY
VINCI'S	V IH N S IY Z
VINCIGUERRA	V IY N CH IY G EH R AH
VINDICATED	V IH N D AH K EY T IH D
VINER	V AY N ER
VINES	V AY N Z
VINET	V IH N IH T
VINEY	V AY N IY
VINEYARDS	V IH N Y ER D Z
VINGMED	V IH NG M EH D
VINGO	V IH NG G OW
VINI	V IY N IY
VINICIO	V IH N IH S IY OW
VINICK	V IH N IH K
VINIK	V IH N IH K
VINIK'S	V IH N IH K S
VINING	V AY N IH NG
VINING'S	V AY N IH NG Z
VINITA	V IY N IY T AH
VINJE	V IH N JH
VINNICK'S	V IH N IH K S
VINNIE	V IH N IY
VINNY	V IH N IY
VINOCUR	V IH N AH K ER
VINSANT	V IY N S AH N T
VINSO	V IH N S OW
VINSON	V IH N S AH N
VINT	V IH N T
VINTNERS	V IH N T N ER Z
VINYARD	V IH N Y ER D
VINZANT	V IH N Z AH N T
VIOLA(1)	V IY OW L AH
VIOLAS	V IY OW L AH Z
VIOLATED	V AY AH L EY T IH D
VIOLATIONS	V AY AH L EY SH AH N Z
VIOLATORS	V AY AH L EY T ER Z
VIOLETS	V AY AH L AH T S
VIOLETT	V AY AH L AH T
VIOLETT(1)	V IY OW L EH T
VIOLETTE	V IY OW L EH T
VIOLINS	V AY AH L IH N Z
VIOLIST'S	V IY OW L AH S T S
VIOLIST'S(1)	V IY OW L AH S
VIOLISTS	V IY OW L AH S T S
VIOLISTS(1)	V IY OW L AH S
VIP	V IY AY P IY
VIPERS	V AY P ER Z
VIPIN	V IH P IH N
VIPOND	V IH P AH N D
VIPONT	V IH P AA N T
VIPONT'S	V IH P AA N T S
VIPS	V IY AY P IY Z
VIRAG	V IH R AH G
VIRAMONTES	V IH R AA M OW N T EH S
VIRAMUNES	V IY R AH M UW N EH Z
VIRAY	V AY R EY
VIRAZOLE	V IH R AH Z OW L
VIRAZOLE(1)	V AY R AH Z OW L
VIRCO	V ER K OW
VIRDEN	V ER D AH N
VIREN	V IH R AH N
VIRES	V AY R Z
VIRGE	V ER JH
VIRGIL	V ER JH AH L
VIRGILIO	V ER JH IH L IY OW
VIRGINIA	V ER JH IH N Y AH
VIRGINIA'S	V ER JH IH N Y AH Z
VIRGINIAN	V ER JH IH N Y AH N
VIRGINIANS	V ER JH IH N Y AH N Z
VIRGINS	V ER JH AH N Z
VIRGO	V ER G OW
VIRGY	V ER JH IY
VIRIDIS	V IH R IH D IH S
VIRINA	V IH R IY N AH
VIRKLER	V ER K AH L ER
VIRKLER(1)	V ER K L ER
VIRNA	V ER N AH
VIRNIG	V ER N IH G
VIROLOGICAL	V AY R AH L AA JH IH K AH L
VIROLOGISTS	V IH R AA L AH JH IH S T S
VIRTUES	V ER CH UW Z
VIRUS'S	V AY R AH S IH Z
VIRUSES	V AY R AH S AH Z
VIRZI	V IH R Z IY
VISA'S	V IY Z AH Z
VISAS	V IY Z AH Z
VISCARDI	V IY S K AA R D IY
VISCERALLY	V IH S ER AH L IY
VISCLOSKY	V IH S K L AO S K IY
VISCO	V IY S K OW
VISCOMI	V IY S K OW M IY
VISCONTI	V IY S K OW N T IY
VISCOUNTS	V IH S K AW N T S
VISCUSO	V IY S K UW S OW
VISHAY	V IH SH EY
VISHNU	V IH SH N UW
VISICALC	V IH Z IH K AE L K
VISIGOTH	V IH Z AH G AA TH
VISIGOTHS	V IH Z AH G AA TH S
VISIONARIES	V IH ZH AH N EH R IY Z
VISIONS	V IH ZH AH N Z
VISITATIONS	V IH Z IH T EY SH AH N Z
VISITOR'S	V IH Z IH T ER Z
VISITORS	V IH Z IH T ER Z
VISITS	V IH Z IH T S
VISNIC	V IH S N IH CH
VISSCHER	V IH SH ER
VISSER	V IH S ER
VIST	V IH S T
VISTA'S	V IH S T AH Z
VISTAS	V IH S T AH Z
VISTON	V IH S T AH N
VISUALS	V IH ZH W AH L Z
VISX	V IH S EH K S
VITAE	V AY T AH
VITAGLIANO	V IY T AA G L IY AA N OW
VITALE	V IH T AE L IY
VITALE(1)	V AY T AE L
VITALI	V IY T AA L IY
VITALINK	V AY T AH L IH NG K
VITALY	V AH T AE L IY
VITALY(1)	V IY T AA L IY
VITANZA	V IH T AE N Z AH
VITARINE	V IH T ER IY N
VITARINE'S	V IH T ER IY N Z
VITEK	V IH T EH K
VITELLI	V IH T EH L IY
VITELLO	V IH T EH L OW
VITEZ	V IH T EH Z
VITEZ(1)	V AY T EH Z
VITI	V IY T IY
VITIA	V IY SH AH
VITIELLO	V IY T IY EH L OW
VITNER	V IH T N ER
VITO	V IY T OW
VITOLO	V IY T OW L OW
VITRAMON	V IH T R AH M AA N
VITRANO	V IY T R AA N OW
VITRONICS	V AY T R AA N IH K S
VITRUVIUS	V IH T R UW V IY AH S
VITT	V IH T
VITTITOW	V IH T IH T OW
VITTLES	V IH T AH L Z
VITTORIA	V IH T AO R IY AH
VITTORIO	V IY T AO R IY OW
VITUCCI	V IY T UW CH IY
VITULLI	V IY T UW L IY
VITULLO	V IY T UW L OW
VIV	V IH V
VIVA	V IY V AH
VIVALDI	V IH V AA L D IY
VIVAS	V IY V AH Z
VIVEIROS	V IY V IH R OW Z
VIVERETTE	V IH V ER EH T
VIVEROS	V IY V EH R OW Z
VIVIAN	V IH V IY AH N
VIVIANA	V IH V IY AE N AH
VIVIANO	V IY V IY AA N OW
VIVIENNE	V IH V IY AH N
VIVIER	V AY V IY ER
VIVISEPULTURE	V IH V IY S EH P AH L CH ER
VIVONA	V IY V OW N AH
VIVRA	V IY V R AH
VIZCARRA	V IY Z K AA R AH
VIZCAYA	V IH Z K AY AH
VIZZINI	V IY T S IY N IY
VLACH	V L AE CH
VLACHOS	V L EY K OW S
VLAD	V L AE D
VLAD'S	V L AE D Z
VLADECK	V L AE D EH K
VLADIMIR	V L AE D AH M IH R
VLADISLAV	V L AE D AH S L AA V
VLADIVOSTOK	V L AE D IH V AO S T AA K
VLASIC	V L AE Z IH K
VLCEK	V L EH S IH K
VLIET	V L IY T
VLOK	V L AA K
VNESHECONOMBANK	V AH N EH SH AH K AA N AH M B AE NG K
VO	V OW
VOBIS	V OW B AH S
VOCALISTS	V OW K AH L IH S T S
VOCALIZES	V OW K AH L AY Z IH Z
VOCALTEC	V OW K AH L T EH K
VOCATIONS	V OW K EY SH AH N Z
VOCIFERATED	V AH S IH F ER EY T AH D
VOCKE	V AA K
VODAFONE	V OW D AH F OW N
VODAVI	V OW D AA V IY
VODICKA	V AA D IH K AH
VODKAS	V AA D K AH Z
VOELKEL	V OW L K AH L
VOELL	V OW L
VOELZ	V OW L Z
VOGAN	V OW G AH N
VOGE	V OW JH
VOGEL	V OW G AH L
VOGELER	V OW G AH L ER
VOGELGESANG	V AA G IH L G IH S AH NG
VOGELPOHL	V AA G IH L P OW L
VOGELS	V OW G AH L Z
VOGELSANG	V AA G IH L S AH NG
VOGELSONG	V AA G IH L S AO NG
VOGES	V OW JH IH Z
VOGHT	V AA T
VOGL	V AA G AH L
VOGLER	V OW G L ER
VOGOSCA	V OW G OW S K AH
VOGOSCA(1)	V AH G OW S K AH
VOGT	V OW T
VOGTLE	V AA G T AH L
VOHS	V AA S
VOICE'S	V OY S IH Z
VOICEMAIL	V OY S M EY L
VOICEOVER	V OY S OW V ER
VOICEWORKS	V OY S W ER K S
VOICING	V OY S IH NG
VOIDING	V OY D IH NG
VOIDS	V OY D Z
VOIGHT	V OY T
VOIGT	V OY G T
VOIGTS	V OY G T S
VOIGTS(1)	V OY T S
VOILES	V OY L Z
VOINOVICH	V OY N AH V IH CH
VOIR	V W AA R
VOISEY	V W AA S EY
VOISEY(1)	V OY S EY
VOISIN	V OY Z AE N
VOISINE	V OY Z IY N
VOIT	V OY T
VOJTA	V OY T AH
VOJTA(1)	V OY T AH
VOKES	V OW K S
VOLAND	V AA L AH N D
VOLBERDING	V OW L B ER D IH NG
VOLCANO'S	V AA L K EY N OW Z
VOLCANOES	V AA L K EY N OW Z
VOLCANOLOGISTS	V AO L K AH N AO L AH JH IH S T S
VOLCANOLOGISTS(1)	V AO L K AH N AO L AH JH IH S
VOLCANOS	V AA L K EY N OW Z
VOLCKER	V OW L K ER
VOLCKER'S	V OW L K ER Z
VOLD	V OW L D
VOLDEMORT	V OW L D AH M AO R T
VOLENTINE	V OW L EH N T IY N IY
VOLES	V OW L Z
VOLETA	V OW L EH T AH
VOLGA	V AA L G AH
VOLGOGRAD	V OW L G OW G R AE D
VOLIN	V OW L IH N
VOLIO	V OW L IY OW
VOLKER	V OW L K ER
VOLKERT	V OW L K ER T
VOLKMAN	V OW L K M AH N
VOLKMANN	V OW L K M AH N
VOLKMAR	V OW L K M ER
VOLKMER	V OW L K M ER
VOLKOGONOV	V OW L K AO G AH N AO V
VOLKSFUERSORGE	V OW L K S F Y UW R S AO R JH
VOLKSWAGENS	V OW L K S W AE G AH N Z
VOLLAND	V AA L AH N D
VOLLBRECHT	V AA L B R IH K T
VOLLE	V AA L
VOLLENWEIDER	V AA L IH N W AY D ER
VOLLER	V AA L ER
VOLLEYS	V AA L IY Z
VOLLMAN	V AA L M AH N
VOLLMAR	V AA L M ER
VOLLMER	V AA L M ER
VOLLRATH	V AA L R AH TH
VOLNER	V OW L N ER
VOLNEY	V OW L N IY
VOLOKH	V AA L AA K
VOLPI	V OW L P IY
VOLPICELLA	V OW L P IH S EH L AH
VOLTAGE'S	V OW L T IH JH IH Z
VOLTAGES	V OW L T AH JH AH Z
VOLTAGES(1)	V OW L T IH JH IH Z
VOLTAIRE	V OW L T EH R
VOLTAREN	V OW L T ER AH N
VOLTS	V OW L T S
VOLUME'S	V AA L Y AH M Z
VOLUMES	V AA L Y UW M Z
VOLUNTEERING	V AO L AH N T IH R IH NG
VOLUNTEERISM	V AO L AH N T IH R IH Z AH M
VOLVO'S	V OW L V OW Z
VOLVOS	V AO L V OW Z
VOLVOVITZ	V OW L V AH V IH T S
VOLZ	V OW L Z
VOMITING	V AA M AH T IH NG
VON	V AO N
VON-BRAUN	V AA N B R AO N
VONA	V OW N AH
VONADA	V OW N AA D AH
VONALLMEN	V AA N AH L M EH N
VONARX	V AH N AA R K S
VONBARGEN	V AA N B AA R G AH N
VONBEHREN	V AA N B IH R AH N
VONCANNON	V AA N K AE N AH N
VONDER	V AA N D ER
VONDERHAAR	V AA N D ER HH AA R
VONDERHEIDE	V AA N D ER HH AY D
VONDRACEK	V AA N D R AH S IH K
VONDRAK	V AA N D R AH K
VONDRASEK	V AH N D R AA S EH K
VONFELDT	V AA N F IH L T
VONG	V AO NG
VONGUNTEN	V AA NG G AH N T AH N
VONK	V AA NG K
VONNEGUT	V AA N AH G AH T
VONNIE	V AA N IY
VONNY	V AA N IY
VONRUDEN	V AA N R UW D AH N
VONS	V AA N Z
VONS'S	V AA N Z IH Z
VONSEGGERN	V AA N S IH G ER N
VONSTEIN	V AA N S T AY N
VONSTEIN(1)	V AA N S T IY N
VONTOBEL	V AA N T OW B AH L
VOORHEES	V UH R HH IY Z
VOORHIS	V UH R HH IH S
VORA	V AO R AH
VORCE	V AO R S
VORE	V AO R
VORHAUER	V AO R HH AW R
VORHEES	V AO R HH IY Z
VORHIES	V AO R HH IY Z
VORNADO(1)	V AO R N EY D OW
VORNDRAN	V AO R N D R AH N
VOROS	V AO R OW Z
VORPAHL	V AO R P AA L
VORTEC	V AO R T EH K
VORWALD	V AO R W AO L D
VORWERK	V AO R W ER K
VOSBERG	V AA S B ER G
VOSE	V OW Z
VOSLER	V AA S AH L ER
VOSS	V AO S
VOSSEN	V AO S AH N
VOSSLER	V AA S AH L ER
VOSSLER(1)	V AA S L ER
VOTAVA	V OW T AA V AH
VOTAW	V OW T AO
VOTE'S	V OW T S
VOTED	V OW T AH D
VOTED(1)	V OW T IH D
VOTER'S	V OW T ER Z
VOTERS	V OW T ER Z
VOTERS'	V OW T ER Z
VOTH	V AA TH
VOTRAX	V AA T R AE K S
VOTRUBA	V AH T R UW B AH
VOUCHERS	V AW CH ER Z
VOUCHING	V AW CH IH NG
VOUGHT	V AO T
VOUS	V UW
VOUTE	V UW T
VOWED	V AW D
VOWELL	V AA W EH L
VOWELS	V AW AH L Z
VOWELS(1)	V AW L Z
VOWING	V AW IH NG
VOWLES	V AW AH L Z
VOWS	V AW Z
VOXFORGE	V AA K S F AO R JH
VOYAGED	V OY AH JH D
VOYAGED(1)	V OY IH JH D
VOYAGER'S	V OY IH JH ER Z
VOYAGERS	V OY IH JH ER Z
VOYAGES	V OY AH JH AH Z
VOYAGES(1)	V OY IH JH IH Z
VOYER	V OY ER
VOYLES	V OY L Z
VOYTKO	V OY T K OW
VP	V IY P IY
VRABEL	V R AE B AH L
VRADENBURG	V R EY D AH N B ER G
VRAIN	V R EY N
VRANA	V R AE N AH
VRANESEVIC	V R AA N AH S EH V IH CH
VRANITZKY	V R AH N IH T S K IY
VRANOS	V R AA N OW S
VRBA	V ER B AA
VRDOLYAK	V ER D OW L IY AE K
VREDENBURG	V R IY D AH N B ER G
VREMYA	V R EH M IY AH
VRIES	V R IY Z
VROMAN	V R OW M AH N
VS	V ER S AH Z
VSEL	V IY S EH L
VUE	V Y UW
VUITTON	V UH T AO N
VUKELICH	V AH K EH L IH HH
VUKOVICH(1)	V UW K AH V IH CH
VULCAN'S	V AH L K AH N Z
VULGAMORE	V AH L G AH M AO R
VULNERABILITIES	V AH L N ER AH B IH L IH T IY Z
VULTURES	V AH L CH ER Z
VUNCANNON	V AH N K AH N AA N
VUNCANNON(1)	V AH N K AE N AH N
VUOLO	V UW OW L OW
VUONG	V UW AO NG
VYACHESLAV	V Y AA CH AH S L AA V
V_S	V IY EH S
W'S	D AH B AH L Y UW Z
W.'S	D AH B AH L Y UW Z
W.S	D AH B AH L Y UW Z
W00T	W UW T
WAACK	W AA K
WAAL	W AA L
WAARA	W AA R AH
WABASH'S	W AO B AE SH AH Z
WACE	W EY S
WACH	W AO CH
WACHHOLZ	W AO K HH OW L Z
WACHNER	W AE K N ER
WACHO	W AA CH OW
WACHOVIA	W AA CH OW V IY AH
WACHOWIAK	V AH HH AW IY AE K
WACHOWSKI	V AH HH AO F S K IY
WACHS	W AO K S
WACHSMAN	W AO K S M AH N
WACHSMUTH	W AO K S M UH TH
WACHTEL	W AO CH AH L
WACHTELL	W AA K T EH L
WACHTER	W AO K T ER
WACHTLER	W AE K T L ER
WACKENHUT	W AA K AH N HH AH T
WACKERLE	W AE K ER AH L
WACKERLE(1)	W AE K ER L IY
WACKS	W AE K S
WACKSMAN	W AE K S M AH N
WACKSMAN'S	W AE K S M AH N Z
WACO	W EY K OW
WACTLAR	W AA K T L ER
WADDED	W AA D IH D
WADDELL	W AA D EH L
WADDILL	W AO D IH L
WADDINGTON	W AA D IH NG T AH N
WADE'S	W EY D Z
WADED	W EY D IH D
WADEL	W EY D AH L
WADERS	W EY D ER Z
WADES	W EY D Z
WADFORD	W AO D F ER D
WADING	W EY D IH NG
WADKINS	W AO D K IH N Z
WADLE	W AO D AH L
WADLEIGH	W AO D L IY
WADLINGTON	W AA D L IH NG T AH N
WADMAN	W AO D M AH N
WADS	W AA D Z
WADSWORTH'S	W AA D Z W ER TH S
WAECHTER	W EH K T ER
WAELTERMANN	W AA L T ER M AH N
WAERTSILAE	W EH R T S AH L EY
WAFERS	W EY F ER Z
WAFFLES	W AA F AH L Z
WAFFORD	W AA F ER D
WAFTED	W AA F T IH D
WAFTING	W AA F T IH NG
WAG'S	W AE G Z
WAGA	W AA G AH
WAGAMAN	W AE G AH M AH N
WAGENAAR	W AE G AH N AA R
WAGENER	W AE G AH N ER
WAGENKNECHT	W AE G AH N IH K T
WAGERING	W EY JH ER IH NG
WAGERS	W EY JH ER Z
WAGG	W AE G
WAGGED	W AE G D
WAGGENER	W AE G AH N ER
WAGGING	W AE G IH NG
WAGGLING	W AE G AH L IH NG
WAGGLING(1)	W AE G L IH NG
WAGING	W EY JH IH NG
WAGLER	W AE G L ER
WAGMAN	W AE G M AH N
WAGNER	W AE G N ER
WAGNER(1)	V AA G N ER
WAGNER'S	W AE G N ER Z
WAGNER'S(1)	V AE G N ER Z
WAGNERIAN	W AE G N EH R IY AH N
WAGNERIAN(1)	V AA G N EH R IY AH N
WAGNON	W AE G N AH N
WAGONEER	W AE G AH N IH R
WAGONEERS	W AE G AH N IH R Z
WAGONS	W AE G AH N Z
WAGS	W AE G Z
WAGSTAFF	W AE G S T AE F
WAGSTER	W AE G S T ER
WAGUESPACK	W AE G IH S P AE K
WAGY	W AE G IY
WAH	W AA
WAH-PEI	W AA P EY
WAHID	W AA HH IY D
WAHINES	W AH HH IY N IY Z
WAHL	W AA L
WAHLBERG	W AA L B ER G
WAHLE	W AO L
WAHLEN	W AA L AH N
WAHLER	W AA L ER
WAHLERS	W AA L ER Z
WAHLERT	W AA L ER T
WAHLGREN	W AA L G R AH N
WAHLSTROM	W AA L S T R AH M
WAI	W AY
WAIBEL	W EY B AH L
WAIBEL(1)	W AY B AH L
WAID	W EY D
WAIDE	W EY D
WAIFER	W EY F ER
WAIGEL	W AY G AH L
WAIKIKI	W AY K IY K IY
WAILED	W EY L D
WAILES	W EY L Z
WAILING	W EY L IH NG
WAILS	W EY L Z
WAINER	W EY N ER
WAINIO	W EY N IY OW
WAINMAN	W EY N M AH N
WAINOCO	W EY N OW K OW
WAINOCO'S	W EY N OW K OW Z
WAINRIGHT	W EY N R AY T
WAINSCOTT	W EY N S K AH T
WAIS	W EY Z
WAISANEN	W AY S AH N AH N
